max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.15,2025,neutro,0.999958334038797,0.0,0.0999,0.0658,1.5174,0.0348,12,False,10676.87,1.0,0.0
0.15,2025,arriesgado,1.0,0.0,-0.0846,0.1492,-0.5669,0.1809,12,False,9721.12,1.0,0.0
0.15,2025,muy_arriesgado,1.0,0.0,-0.1299,0.2048,-0.6341,0.2504,12,False,9329.58,1.0,0.0
0.15,2026,muy_conservador,0.5,0.0,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
0.15,2026,conservador,0.9791099136256022,0.0,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
0.15,2026,neutro,0.999898976283263,0.0,0.0843,0.1468,0.5745,0.0185,3,False,2644.44,1.0,0.0
0.15,2026,arriesgado,1.0,0.0,-0.1163,0.1781,-0.6528,0.0618,3,False,2772.08,1.0,0.0
0.15,2026,muy_arriesgado,1.0,0.0,-0.1525,0.2152,-0.7083,0.0881,3,False,2897.98,1.0,0.0
0.2,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2019,conservador,0.04185917739427872,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
0.2,2019,neutro,0.9634102476846889,0.0,0.1618,0.0671,2.4127,0.0248,12,False,11224.54,0.9167,0.0002
0.2,2019,arriesgado,0.9999999833643596,0.0,0.2233,0.1538,1.4519,0.1055,12,False,12177.94,1.0,0.0
0.2,2019,muy_arriesgado,0.9999999988183609,0.0,0.2318,0.2275,1.0189,0.1806,12,False,12652.55,1.0,0.0
0.2,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2020,conservador,0.9997019803129688,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
0.2,2020,neutro,0.9999999991820493,0.33330822545322436,-0.6376,0.2613,-2.4403,0.2449,3,True,2301.19,1.0,0.0
