train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.15,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.15,2020,neutro,0.9999999823620292,0.3333168336066031,-0.6475,0.2744,-2.3594,0.2491,3,True,2290.57,1.0,0.0
5,0.15,2020,arriesgado,0.9756676763971148,0.0,0.2624,0.2774,0.9458,0.2246,12,False,10460.59,1.0,0.0
5,0.15,2020,muy_arriesgado,0.999867202837966,0.0,0.47,0.3003,1.5653,0.1963,12,False,11478.27,1.0,0.0
5,0.15,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.15,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.15,2021,arriesgado,1.0,0.0,0.217,0.179,1.212,0.0979,12,False,11632.73,1.0,0.0
5,0.15,2021,muy_arriesgado,1.0,0.0,0.1531,0.245,0.6248,0.1619,12,False,11555.1,1.0,0.0
5,0.15,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.15,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.15,2022,arriesgado,0.9984482462940579,0.0,-0.0055,0.1398,-0.0397,0.1509,12,False,9622.11,1.0,0.0
5,0.15,2022,muy_arriesgado,0.9998841712613249,0.0,-0.0236,0.1801,-0.1312,0.1799,12,False,9425.98,1.0,0.0
5,0.15,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.15,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.15,2023,arriesgado,0.7179136339512594,0.0,0.046,0.0913,0.5036,0.0468,12,False,10070.39,0.6667,0.0005
5,0.15,2023,muy_arriesgado,0.9210701057516281,0.0,0.0544,0.138,0.3945,0.0685,12,False,10146.28,0.9167,0.0001
5,0.15,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.15,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.15,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
