max_weight,anio,periodo_inicio,periodo_fin,perfil,prob_aceptacion_prom,prob_abandono_prom,aceptacion_observada,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.2,2024,2024-01-01,2024-12-31,muy_arriesgado,0.9999999999763896,0.0,1.0,0.2411,0.1969,1.2243,0.0761,12,False,12960.56,1.0,0.0
0.2,2025,2025-01-01,2025-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2025,2025-01-01,2025-12-31,conservador,0.9932965819804731,0.0,1.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
0.2,2025,2025-01-01,2025-12-31,neutro,0.999958348443529,0.0,1.0,0.0998,0.0658,1.5164,0.035,12,False,10676.03,1.0,0.0
0.2,2025,2025-01-01,2025-12-31,arriesgado,1.0,0.0,1.0,-0.1022,0.158,-0.6466,0.1858,12,False,9735.83,1.0,0.0
0.2,2025,2025-01-01,2025-12-31,muy_arriesgado,1.0,0.0,1.0,-0.1926,0.2059,-0.9351,0.2644,12,False,9132.26,1.0,0.0
0.2,2026,2026-01-01,2026-03-13,muy_conservador,0.5,0.0,0.3333333333333333,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
0.2,2026,2026-01-01,2026-03-13,conservador,0.9791099136256022,0.0,1.0,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
0.2,2026,2026-01-01,2026-03-13,neutro,0.9998991167344387,0.0,1.0,0.0843,0.1467,0.5745,0.0185,3,False,2644.36,1.0,0.0
0.2,2026,2026-01-01,2026-03-13,arriesgado,1.0,0.0,1.0,-0.1169,0.1778,-0.6573,0.0621,3,False,2773.08,1.0,0.0
0.2,2026,2026-01-01,2026-03-13,muy_arriesgado,1.0,0.0,1.0,-0.1585,0.23,-0.6892,0.092,3,False,2894.64,1.0,0.0
