modelo,max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,frecuencia_rebalanceo_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
sin_bl,0.2,arriesgado,0.17998571428571428,0.2545,0.1106142857142857,0.0,0.0,0.9987299461549213,1.0,12.0,0.038641,0.048676,0.017082,0.6389,170.6,0.10535807142857141
sin_bl,0.2,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.2,muy_arriesgado,0.24551428571428574,0.3207,0.13507142857142856,0.0,0.0,0.9999737288240897,1.0,12.0,0.047949,0.061325,0.022648,0.6528,162.64,0.15400407142857145
sin_bl,0.2,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
sin_bl,0.2,neutro,0.048628571428571445,0.1782,0.09414285714285715,0.2857142857142857,0.07261644281292234,0.9911739974610068,0.9881,10.285714285714286,0.039021,0.052866,0.000728,0.6528,263.67,-0.10366764285714283
delta_hybrid_minus_sin_bl,0.01,arriesgado,-0.010242857142857165,0.0295,-0.01095714285714286,0.0,0.0,-0.2533773737464058,-0.25,0.0,-0.003151000000000001,-0.005908999999999998,-0.0027549999999999996,-0.027799999999999936,0.25,-0.0031887857142857273
delta_hybrid_minus_sin_bl,0.01,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.01,muy_arriesgado,-0.013685714285714301,0.02479999999999999,8.571428571430006e-05,0.0,0.0,-0.03788074975870742,-0.05954285714285715,0.0,-0.0033240000000000006,-0.006266000000000001,-0.0018199999999999996,-0.05559999999999998,-17.980000000000018,-0.012066571428571427
delta_hybrid_minus_sin_bl,0.01,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.01,neutro,-0.001614285714285714,-0.0029000000000000137,2.8571428571419477e-05,0.0,-9.765833710938254e-05,-0.27236302349238406,-0.1944285714285714,0.0,0.0007020000000000012,-4.500000000000337e-05,-0.002326,-0.055600000000000094,2.079999999999984,-0.001979571428571414
delta_hybrid_minus_sin_bl,0.025,arriesgado,0.022871428571428598,0.035500000000000004,-0.011657142857142852,0.0,0.0,-0.46544096510237676,-0.4642857142857143,0.0,-0.003136,-0.006053999999999997,-0.005318,-0.013900000000000023,-7.930000000000007,0.030268000000000017
delta_hybrid_minus_sin_bl,0.025,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.025,muy_arriesgado,0.0014857142857142847,0.037099999999999994,-0.013871428571428576,0.0,0.0,-0.4767484901122859,-0.49999999999999994,0.0,-0.006672999999999998,-0.010070999999999997,-0.003045000000000001,0.0,-0.25,0.011757928571428572
delta_hybrid_minus_sin_bl,0.025,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.025,neutro,-0.007100000000000002,-0.0358,0.0019142857142856878,0.0,-9.580569196449007e-05,-0.31189610424233694,-0.30158571428571435,0.0,8.099999999999774e-05,-0.0003989999999999966,-0.0029389999999999998,-0.04169999999999996,2.2999999999999545,-0.008097642857142845
delta_hybrid_minus_sin_bl,0.05,arriesgado,0.01904285714285714,-0.08130000000000004,-0.00412857142857144,0.0,0.0,-0.44084206311489527,-0.4404714285714285,0.0,-0.0014969999999999983,-0.0034160000000000024,-0.007482000000000001,-0.04169999999999996,-3.8500000000000227,0.02185564285714285
delta_hybrid_minus_sin_bl,0.05,conservador,-0.00039999999999999584,0.0,0.0005142857142857171,0.0,0.002238841714018308,-0.10514553744468991,-0.11428571428571421,0.0,0.0009130000000000041,2.9000000000001247e-05,-0.0024999999999999996,-0.055600000000000094,0.0,-0.0011136428571428825
delta_hybrid_minus_sin_bl,0.05,muy_arriesgado,0.03181428571428574,-0.016399999999999998,-0.014271428571428602,0.0,0.0,-0.4127447768606425,-0.4404571428571429,0.0,-0.0012560000000000002,-0.004510000000000007,-0.008585999999999998,0.0,-3.259999999999991,0.039578000000000044
delta_hybrid_minus_sin_bl,0.05,muy_conservador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_hybrid_minus_sin_bl,0.05,neutro,-0.013642857142857137,-0.03159999999999999,0.004799999999999985,0.0,-8.910279174494107e-05,-0.3169174339490254,-0.3016,0.0,0.0006439999999999987,9.900000000000186e-05,-0.003066,-0.027800000000000047,2.830000000000041,-0.016364857142857125
